N°Obs;1. Civilisation;2. Civilisation_Autre;3. Age;4. Carriere;5. Region;6. OrigineDomaine;7. Si_etrangers_de_quelle_partie_venez-vous;8. VinNation;9. VinImport;10. bas_gamme;11. milieu_gamme;12. haut_gamme;13. grand_cru;14. SatisPub;15. prixpub;16. Quest-ce_qui_vous_attires;17. Quest-ce_qui_vous_attires_Autre;18. FondPhoto;19. AppaGout;20. MondeouChinois;21. NouvoAncien;22. rougeblancautre;23. rougeblancautre_Autre;24. frequence;25. canaux_achat;26. canaux_achat_Autre;27. modivation;28. modivation_Autre;29. Quel_type_de_vin_buvez-vous_souvent;30. Quel_type_de_vin_buvez-vous_souven_Autre;31. LibreAmeliorer;32. CLE;33. DATE_SAISIE;34. DATE_ENREG;35. DATE_MODIF;36. TEMPS_SAISIE;37. ORIGINE_SAISIE;38. LANG_SAISIE;39. APPAREIL_SAISIE;40. PROGRESSION
40;Homme;;de 30 à 39 ans;Vin;Région du Nord (Huabei);Oui;;Français ;Francais;< RMB 200 (28,57€);< RMB 300 (42,86€);< RMB 1000 (142,86€);haut de gamme;Tout à fait;< ¥ 200 (28,57€);"Le prix;La photo;Les textes;Les paiements échelonnés;Autre";;Oui, j’avoue.;Oui, j’avoue.;Oui, j’avoue.;Oui, j’avoue.;Oui, j’avoue.;;Hier, ou maintenant !;Wechat;;Achetez et buvez pour vous-même;;"Vin rouge;Vin rosé;Vin blanc;Champagne;Vin liquoreux;Vin pétillant;Autre";;0;DPPA-7G8U;14/03/2023 16:47:54;14/03/2023 16:50:22;;148,3452707;Direct;FR;Smartphone;Terminé
41;Femme;;de 18 à 29 ans;学生;Région de l'Est (Huadong);Non;;0;法国;< RMB 300 (42,86€);< RMB 500 (71,43€);< RMB 300 (42,86€);milieu de gamme;Plûtot content;< ¥ 150 (21,43€);"La photo;Les textes";;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Oui, j’avoue.;Non, je ne suis pas d’accord.;;Il y a des semaine;Taobao;;"Achetez et buvez pour vous-même;Apprentissage et éducation";;"Vin rouge;Vin blanc;Vin rosé;Vin pétillant;Champagne";;做得不错，继续努力！;2AJ3-Y4GP;14/03/2023 16:51:34;14/03/2023 16:54:16;;161,9154713;Direct;CN;PC;Terminé
42;Homme;;de 18 à 29 ans;老师;Région de l'Est (Huadong);Je ne sais pas;Asie de l'Est;0;法国;< RMB 100 (14,29€);< RMB 200 (28,57€);< RMB 1000 (142,86€);haut de gamme;Tout à fait;< ¥ 200 (28,57€);La photo;;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;;Il y a quelques jours;Autre;超市;Autre;需要庆祝的场合;"Vin liquoreux;Vin rouge;Vin blanc;Champagne";;很好！;F7VZ-96ST;14/03/2023 16:51:29;14/03/2023 16:56:58;;328,6607447;Direct;CN;Smartphone;Terminé
43;Femme;;de 18 à 29 ans;Étudiant ;Etrangers;Non;Europe;0;Italie;< RMB 100 (14,29€);< RMB 300 (42,86€);< RMB 1000 (142,86€);milieu de gamme;Plûtot content;< ¥ 500 (71,43€);La photo;;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;;Il y a des semaine;Autre;Je n’ai pas compris ;Achetez et buvez pour vous-même;;Vin blanc;;Améliorer un peu le français écrit, ce n’est pas toujours très compréhensible, les images sont écrites en chinois donc pas compréhensible non plus des français  ;DT23-ZU6N;14/03/2023 16:53:54;14/03/2023 16:59:35;;340,6902387;Direct;FR;Smartphone;Terminé
44;Femme;;de 18 à 29 ans;学生;Région du Nord-Est (Dongbei);Non;;新疆;法国;< RMB 200 (28,57€);< RMB 300 (42,86€);< RMB 1000 (142,86€);milieu de gamme;Plûtot content;> ¥ 500 (71,43€);"La photo;Le prix";;Oui, j’avoue.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Je ne connais pas les concepts impliqués dans la question.;Oui, j’avoue.;;Il y a des semaine;"Taobao;Wechat";;"Cadeaux;Achetez et buvez pour vous-même";;"Vin rouge;Champagne;Vin liquoreux;Vin pétillant";;因为背景原因文字颜色可以再明显一点;VTSD-FD4D;14/03/2023 16:41:43;14/03/2023 17:01:07;;1163,758107;Direct;CN;Smartphone;Terminé
45;Femme;;de 18 à 29 ans;Études de master LAI événementiel à Bordeaux ;Etrangers;Non;Europe;0;France ;< RMB 100 (14,29€);< RMB 300 (42,86€);< RMB 1000 (142,86€);milieu de gamme;Tout à fait;< ¥ 500 (71,43€);"La photo;Les textes";;Oui, j’avoue.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Je ne connais pas les concepts impliqués dans la question.;Oui, j’avoue.;;Il y a des semaine;Autre;Supermarché ;Achetez et buvez pour vous-même;;"Vin rouge;Vin blanc;Vin pétillant";;;ZQKY-YH59;14/03/2023 17:08:56;14/03/2023 17:13:00;;244,0814085;Direct;FR;Smartphone;Terminé
46;Femme;;de 18 à 29 ans;学生;Région de l'Est (Huadong);Non;;0;0;< RMB 100 (14,29€);< RMB 100 (14,29€);< RMB 100 (14,29€);Bas de gamme;Pas du tout;< ¥ 150 (21,43€);Le prix;;Oui, j’avoue.;Oui, j’avoue.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;;Il y a des mois;QQ;;Cadeaux;;Vin rouge;;;K2QU-3FX9;14/03/2023 17:15:38;14/03/2023 17:18:36;;178,1902773;Direct;CN;PC;Terminé
47;Homme;;de 18 à 29 ans;研究生;Région de l'Est (Huadong);Non;;0;法国;< RMB 500 (71,43€);< RMB 1000 (142,86€);< RMB 1000 (142,86€);milieu de gamme;Pas du tout;< ¥ 200 (28,57€);Les textes;;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Je ne connais pas les concepts impliqués dans la question.;Autre;我不喝酒;Jamais;Autre;不喝！;Cadeaux;;Autre;不喝！;;77SB-5HFR;14/03/2023 17:16:38;14/03/2023 17:19:30;;172,6484046;Direct;CN;Smartphone;Terminé
48;Homme;;de 18 à 29 ans;学生;Région du Nord-ouest (Xibei);Oui;;新疆;法国;< RMB 100 (14,29€);< RMB 200 (28,57€);< RMB 300 (42,86€);milieu de gamme;Plutôt pas content;< ¥ 100 (14,29€);Les textes;;Oui, j’avoue.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Je ne connais pas les concepts impliqués dans la question.;Non, je ne suis pas d’accord.;;Il y a des semaine;Autre;;Achetez et buvez pour vous-même;;"Vin rouge;Vin blanc;Vin liquoreux";;;BL7Y-BNEN;14/03/2023 17:23:10;14/03/2023 17:25:28;;138,3567252;Direct;CN;Smartphone;Terminé
49;Femme;;de 30 à 39 ans;待业;Région du Nord-ouest (Xibei);Oui;;山东;法国;< RMB 100 (14,29€);< RMB 200 (28,57€);< RMB 300 (42,86€);haut de gamme;Pas du tout;< ¥ 100 (14,29€);Le prix;;Non, je ne suis pas d’accord.;Oui, j’avoue.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;;Il y a des semaine;Autre;;"Achetez et buvez pour vous-même;Cadeaux";;"Vin rouge;Vin blanc";;;4QKL-PSQB;14/03/2023 17:29:20;14/03/2023 17:32:09;;169,1186832;Direct;CN;PC;Terminé
50;Femme;;de 18 à 29 ans;Étudiant;Etrangers;Oui;Europe;0;France;< RMB 50 (7,14€);< RMB 200 (28,57€);< RMB 500 (71,43€);haut de gamme;Plutôt pas content;< ¥ 50 (7,14€);"Le prix;La photo";;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;;Hier, ou maintenant !;;;"Achetez et buvez pour vous-même;Apprentissage et éducation";;"Vin rouge;Vin pétillant;Vin blanc";;;KQHG-J62F;14/03/2023 17:31:13;14/03/2023 17:42:04;;650,623988;Direct;FR;Smartphone;Terminé
51;Homme;;de 18 à 29 ans;学生;Région du Sud-ouest (Xi'nan);Non;;长城;saint emillion;< RMB 100 (14,29€);< RMB 300 (42,86€);< RMB 500 (71,43€);milieu de gamme;Plutôt pas content;< ¥ 200 (28,57€);La photo;;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Je ne connais pas les concepts impliqués dans la question.;Autre;都好喝;Il y a quelques jours;Autre;cave;Achetez et buvez pour vous-même;;Vin rouge;;;6ESM-JFUS;14/03/2023 17:40:35;14/03/2023 17:42:54;;138,8755394;Direct;CN;Smartphone;Terminé
52;Femme;;de 18 à 29 ans;;Région du Sud-centre (Zhongnan);Je ne sais pas;;0;法国;< RMB 100 (14,29€);< RMB 300 (42,86€);< RMB 500 (71,43€);milieu de gamme;Plûtot content;< ¥ 200 (28,57€);"La photo;Le prix;Les textes";;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;;Il y a quelques jours;Autre;超市，现居法国;"Achetez et buvez pour vous-même;Apprentissage et éducation";;"Vin blanc;Vin rouge";;;9KKM-YUDC;14/03/2023 17:51:35;14/03/2023 17:55:41;;245,4248994;Direct;CN;Smartphone;Terminé
53;Homme;;de 30 à 39 ans;博士后;Région du Sud-ouest (Xi'nan);Non;;0;法国;< RMB 300 (42,86€);< RMB 200 (28,57€);< RMB 500 (71,43€);milieu de gamme;Plutôt pas content;< ¥ 200 (28,57€);La photo;;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Je ne connais pas les concepts impliqués dans la question.;Non, je ne suis pas d’accord.;;Il y a quelques jours;Autre;;Achetez et buvez pour vous-même;;"Vin rouge;Vin blanc;Champagne";;加油;LU2K-TFMT;14/03/2023 17:53:03;14/03/2023 17:56:29;;206,5752296;Direct;CN;Smartphone;Terminé
54;;;de 18 à 29 ans;学生;Région du Sud-centre (Zhongnan);Non;;0;法国;;< RMB 300 (42,86€);< RMB 500 (71,43€);milieu de gamme;Plutôt pas content;< ¥ 250 (35,71€);"La photo;Les textes";;Oui, j’avoue.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Je ne connais pas les concepts impliqués dans la question.;Non, je ne suis pas d’accord.;;Il y a un an ou plus que an ans.;Autre;家里买的;Achetez et buvez pour vous-même;;"Vin liquoreux;Vin pétillant";;;PJVZ-MCN5;14/03/2023 18:00:51;14/03/2023 18:04:21;;209,9625016;Direct;CN;Smartphone;Terminé
55;Homme;;de 18 à 29 ans;行政;Région de l'Est (Huadong);Non;;0;法国;;< RMB 200 (28,57€);< RMB 300 (42,86€);milieu de gamme;Plutôt pas content;< ¥ 200 (28,57€);"La photo;Les textes";;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Je ne connais pas les concepts impliqués dans la question.;Non, je ne suis pas d’accord.;;Il y a demi ans.;Autre;超市;Achetez et buvez pour vous-même;;"Vin rosé;Champagne;Vin pétillant";;;XGHD-HFXP;14/03/2023 18:21:58;14/03/2023 18:25:20;;202,046155;Direct;CN;Smartphone;Terminé
56;Femme;;de 18 à 29 ans;学生;Région du Nord (Huabei);Oui;;八达岭张裕葡萄酒;法国;< RMB 100 (14,29€);< RMB 300 (42,86€);;milieu de gamme;Plûtot content;< ¥ 250 (35,71€);"Le prix;Les textes;La photo;Les paiements échelonnés";;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Oui, j’avoue.;Autre;都好喝;Il y a quelques jours;Autre;线下;"Collection ou investissement;Cadeaux;Achetez et buvez pour vous-même;Apprentissage et éducation";;"Vin rouge;Vin rosé;Champagne;Vin liquoreux;Vin pétillant;Vin blanc";;挺dei劲er;2L4A-9TQJ;14/03/2023 18:36:56;14/03/2023 18:41:07;;251,0010556;Direct;CN;PC;Terminé
57;Homme;;de 18 à 29 ans;学生;Région du Nord (Huabei);Oui;;长城干红;法国;< RMB 200 (28,57€);< RMB 500 (71,43€);< RMB 300 (42,86€);milieu de gamme;Plutôt pas content;< ¥ 150 (21,43€);Le prix;;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;;Il y a des semaine;Autre;超市;Achetez et buvez pour vous-même;;Vin rosé;;;JL3X-3Y9V;14/03/2023 18:50:14;14/03/2023 18:53:08;;173,2846044;Direct;CN;Smartphone;Terminé
58;Homme;;de 40 à 49 ans;公司员工;Région du Sud-ouest (Xi'nan);Non;;长城干红;拉菲;< RMB 100 (14,29€);< RMB 300 (42,86€);< RMB 1000 (142,86€);milieu de gamme;Plûtot content;< ¥ 200 (28,57€);"La photo;Le prix";;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Je ne connais pas les concepts impliqués dans la question.;Non, je ne suis pas d’accord.;;Il y a quelques jours;Autre;朋友;"Cadeaux;Achetez et buvez pour vous-même";;"Vin rouge;Vin blanc";;;H28Y-QAK8;14/03/2023 19:00:41;14/03/2023 19:09:50;;549,4801667;Direct;CN;Smartphone;Terminé
59;Femme;;de 30 à 39 ans;Professeur de français ;Région de l'Est (Huadong);Non;;Ningxia;France;< RMB 100 (14,29€);< RMB 200 (28,57€);< RMB 300 (42,86€);haut de gamme;Plutôt pas content;< ¥ 150 (21,43€);Le prix;;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Je ne connais pas les concepts impliqués dans la question.;Non, je ne suis pas d’accord.;;Il y a quelques jours;Autre;;"Cadeaux;Achetez et buvez pour vous-même";;"Vin blanc;Vin rouge;Champagne";;L’enquête bien conçue, mais il serait plus intéressant de poser des questions sur l’occasion de consommation et la psychologie de consommation.;8BXL-Y6VZ;14/03/2023 19:22:07;14/03/2023 19:41:07;;1139,9748239;Direct;FR;Tablette;Terminé
60;Homme;;de 18 à 29 ans;学生;Région du Centre (Huazhong);Non;;0;法国;< RMB 200 (28,57€);< RMB 300 (42,86€);< RMB 1000 (142,86€);milieu de gamme;Plutôt pas content;< ¥ 150 (21,43€);Les textes;;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Je ne connais pas les concepts impliqués dans la question.;Autre;桃红嘿嘿;Il y a des semaine;"Taobao;Autre";超市;Achetez et buvez pour vous-même;;"Vin pétillant;Vin liquoreux";;;KSZT-8YAY;14/03/2023 20:02:58;14/03/2023 20:07:37;;279,045736;Direct;CN;Smartphone;Terminé
61;Homme;;de 40 à 49 ans;花瓶;Région de l'Est (Huadong);Non;;五粮液;法国;< RMB 200 (28,57€);< RMB 300 (42,86€);< RMB 1000 (142,86€);Bas de gamme;Plutôt pas content;< ¥ 100 (14,29€);"Le prix;La photo;Les textes;Les paiements échelonnés";;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;;Il y a quelques jours;Tmall;;Achetez et buvez pour vous-même;;"Vin blanc;Vin rouge;Champagne;Vin rosé;Vin pétillant";;名字确实有点奇怪;R6FD-ASTE;14/03/2023 20:27:27;14/03/2023 20:38:15;;648,1733075;Direct;CN;Smartphone;Terminé
62;Femme;;de 18 à 29 ans;Étudiante ;Région de l'Est (Huadong);Non;;Xinjiang;France;< RMB 50 (7,14€);< RMB 300 (42,86€);< RMB 1000 (142,86€);Bas de gamme;Plûtot content;< ¥ 100 (14,29€);Les textes;;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Autre;Ça dépend à la situation;Il y a quelques jours;Taobao;;Cadeaux;;"Vin rouge;Vin blanc;Champagne;Vin pétillant";;;DLC8-PRT7;14/03/2023 20:44:11;14/03/2023 20:49:12;;301,4394435;Direct;FR;Smartphone;Terminé
63;Homme;;;学生;Région du Nord-ouest (Xibei);Oui;;甘肃;法国;< RMB 100 (14,29€);< RMB 300 (42,86€);< RMB 500 (71,43€);milieu de gamme;Plutôt pas content;< ¥ 100 (14,29€);"Le prix;Les textes;Les paiements échelonnés";;Oui, j’avoue.;Oui, j’avoue.;Oui, j’avoue.;Je ne connais pas les concepts impliqués dans la question.;Non, je ne suis pas d’accord.;;Il y a un an ou plus que an ans.;Autre;超市;"Autre;Achetez et buvez pour vous-même";;Vin pétillant;;挺好的;VNNS-ZW5N;14/03/2023 21:02:44;14/03/2023 21:05:55;;191,4410713;Direct;CN;Smartphone;Terminé
64;Homme;;de 30 à 39 ans;农民;Région du Centre (Huazhong);Non;;0;法国;< RMB 100 (14,29€);< RMB 300 (42,86€);< RMB 1000 (142,86€);haut de gamme;Plutôt pas content;< ¥ 100 (14,29€);"Autre;Les textes;Le prix";;Oui, j’avoue.;Oui, j’avoue.;Oui, j’avoue.;Je ne connais pas les concepts impliqués dans la question.;Non, je ne suis pas d’accord.;;Il y a des mois;Autre;饭店;"Cadeaux;Achetez et buvez pour vous-même";;"Vin rouge;Vin blanc;Vin liquoreux;Vin pétillant";;美丽;XVW5-RNSZ;14/03/2023 21:14:20;14/03/2023 21:19:55;;334,9190409;Direct;CN;Smartphone;Terminé
65;Femme;;de 18 à 29 ans;学生;Région de l'Est (Huadong);Je ne sais pas;;0;法国;< RMB 200 (28,57€);< RMB 500 (71,43€);< RMB 1000 (142,86€);milieu de gamme;Plutôt pas content;< ¥ 500 (71,43€);Le prix;;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Je ne connais pas les concepts impliqués dans la question.;Oui, j’avoue.;;Hier, ou maintenant !;Autre;超市;Achetez et buvez pour vous-même;;Vin rouge;;;CP5A-3PAX;14/03/2023 21:23:39;14/03/2023 21:27:53;;254,1358696;Direct;CN;Smartphone;Terminé
66;Homme;;de 18 à 29 ans;学生;Région de l'Est (Huadong);Non;;;法国;< RMB 100 (14,29€);< RMB 200 (28,57€);< RMB 300 (42,86€);milieu de gamme;Plutôt pas content;< ¥ 100 (14,29€);Les textes;;Non, je ne suis pas d’accord.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;;Il y a quelques jours;Autre;线下超市;Achetez et buvez pour vous-même;;"Vin rosé;Vin blanc;Vin pétillant;Champagne";;国内葡萄酒比国外好喝那个问题，我没喝过国内葡萄酒，建议增加这个选项;XF9N-EZC7;14/03/2023 22:51:52;14/03/2023 22:56:28;;275,8719623;Direct;CN;Smartphone;Terminé
67;Homme;;de 18 à 29 ans;学生;Région du Sud-centre (Zhongnan);Non;;云南;法国;< RMB 100 (14,29€);< RMB 300 (42,86€);< RMB 1000 (142,86€);milieu de gamme;Plutôt pas content;< ¥ 200 (28,57€);Les textes;;Oui, j’avoue.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;;Il y a quelques jours;"Autre;JD;Tmall";酒庄;Achetez et buvez pour vous-même;;"Vin rosé;Champagne;Vin pétillant";;;2RJA-82LL;14/03/2023 23:07:31;14/03/2023 23:14:30;;418,7311304;Direct;CN;Smartphone;Terminé
68;Homme;;de 40 à 49 ans;教师;Région de l'Est (Huadong);Non;;新疆，宁夏;法国;< RMB 500 (71,43€);< RMB 1000 (142,86€);< RMB 500 (71,43€);milieu de gamme;;< ¥ 250 (35,71€);"Les textes;Le prix;La photo;Les paiements échelonnés";;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Je ne connais pas les concepts impliqués dans la question.;Oui, j’avoue.;;Il y a quelques jours;"Tmall;JD;Taobao;Wechat";超市或者专卖店;"Achetez et buvez pour vous-même;Cadeaux";;"Vin rouge;Vin blanc";;暂时没啥建议的，就感觉葡萄酒业还真有点专业性呢;7JYA-6PZ4;14/03/2023 23:17:17;14/03/2023 23:23:44;;386,3176166;Direct;CN;Smartphone;Terminé
69;Homme;;de 40 à 49 ans;教育;Région de l'Est (Huadong);Non;;0;法国;< RMB 100 (14,29€);< RMB 300 (42,86€);< RMB 1000 (142,86€);milieu de gamme;Plûtot content;< ¥ 200 (28,57€);La photo;;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Je ne connais pas les concepts impliqués dans la question.;Non, je ne suis pas d’accord.;;Il y a un an ou plus que an ans.;Tmall;;Cadeaux;;"Vin rosé;Vin liquoreux";;;A3C7-H6H9;14/03/2023 23:25:26;14/03/2023 23:28:44;;197,9720341;Direct;CN;Smartphone;Terminé
70;Homme;;de 18 à 29 ans;学生;Région du Sud-centre (Zhongnan);Oui;;甘肃;法国;< RMB 100 (14,29€);< RMB 200 (28,57€);< RMB 1000 (142,86€);milieu de gamme;Pas du tout;< ¥ 150 (21,43€);"Le prix;La photo;Les textes";;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;;Il y a des mois;Autre;线下购买;"Achetez et buvez pour vous-même;Autre";;"Vin rouge;Vin liquoreux";;;MHUF-7PD2;14/03/2023 23:27:39;14/03/2023 23:29:57;;138,3168686;Direct;CN;PC;Terminé
71;Femme;;de 18 à 29 ans;学生;Région du Sud-ouest (Xi'nan);Non;;山东;法国;< RMB 100 (14,29€);< RMB 200 (28,57€);< RMB 500 (71,43€);milieu de gamme;Plûtot content;< ¥ 200 (28,57€);Les textes;;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;;Hier, ou maintenant !;Autre;超市;"Achetez et buvez pour vous-même;Apprentissage et éducation";;"Vin rouge;Champagne";;Perfetto ;843L-V34L;14/03/2023 23:28:01;14/03/2023 23:30:27;;146,0734642;Direct;CN;Smartphone;Terminé
72;Femme;;de 18 à 29 ans;自由职业;Région de l'Est (Huadong);Non;;0;0;< RMB 200 (28,57€);< RMB 300 (42,86€);< RMB 500 (71,43€);milieu de gamme;;;"La photo;Le prix";;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Oui, j’avoue.;Non, je ne suis pas d’accord.;;Jamais;"Taobao;JD;Tmall;TikTok";;"Achetez et buvez pour vous-même;Cadeaux";;"Vin blanc;Vin liquoreux;Vin pétillant";;;LHPE-CLM2;15/03/2023 00:33:07;15/03/2023 00:35:50;;162,6409532;Direct;CN;Smartphone;Terminé
73;Homme;;de 18 à 29 ans;银行;Région de l'Est (Huadong);Non;;甘肃;法国;< RMB 300 (42,86€);< RMB 500 (71,43€);< RMB 1000 (142,86€);milieu de gamme;Plûtot content;< ¥ 500 (71,43€);"Le prix;La photo;Les textes";;Oui, j’avoue.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;;Hier, ou maintenant !;"JD;Tmall;Taobao";;Achetez et buvez pour vous-même;;"Vin rouge;Vin blanc";;;7EZ4-ZS4J;15/03/2023 01:28:07;15/03/2023 01:33:47;;339,8250824;Direct;CN;Smartphone;Terminé
74;Homme;;de 18 à 29 ans;学生;Région du Nord (Huabei);Non;;宁夏;法国;< RMB 100 (14,29€);< RMB 300 (42,86€);< RMB 300 (42,86€);haut de gamme;Plutôt pas content;< ¥ 200 (28,57€);"La photo;Le prix";;Oui, j’avoue.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Je ne connais pas les concepts impliqués dans la question.;Non, je ne suis pas d’accord.;;Il y a quelques jours;"Wechat;Autre";;Achetez et buvez pour vous-même;;"Vin blanc;Champagne;Vin pétillant";;;9FH3-6E8Z;15/03/2023 06:22:51;15/03/2023 06:27:26;;275,0206873;Direct;CN;Smartphone;Terminé
75;;;50 ans ou plus;财务;Région du Sud-ouest (Xi'nan);Non;;青岛;法国;< RMB 100 (14,29€);< RMB 200 (28,57€);< RMB 500 (71,43€);haut de gamme;Plutôt pas content;< ¥ 250 (35,71€);La photo;;Oui, j’avoue.;Oui, j’avoue.;Oui, j’avoue.;Je ne connais pas les concepts impliqués dans la question.;Autre;;Il y a un an ou plus que an ans.;Autre;实体店铺;Achetez et buvez pour vous-même;;Vin rouge;;没有意见;BMUJ-XHFK;16/03/2023 09:23:25;16/03/2023 09:37:22;;836,894168;Direct;CN;PC;Terminé
